ID,Premise,Hypothesis,Label,Topic,Anno,Anno_Type
1968,"Como resultado, los Juegos Olímpicos se han alejado del amateurismo puro, según lo previsto por Coubertin, para permitir la participación de los atletas profesionales.","Es poco probable que, antes de que las Olimpiadas se convirtieran en competiciones deportivas profesionales, los amateuristas participaban en ellos.",cnt,4,2,Generate
2017,"El COI permite la formación de comités olímpicos nacionales que representan a naciones, sin verse obligadas a cumplir con estrictos requisitos relacionados con la soberanía política como lo demandan otras organizaciones internacionales.","El COI demanda los mismos estrictos requisitos relacionados con la soberanía política, igual que otras organizaciones internacionales.",cnt,4,2,Generate
6580,"La Unión de Repúblicas Socialistas Soviéticas fue un Estado socialista federal compuesto por quince repúblicas, creado el 30 de diciembre de 1922 y disuelto el 25 de diciembre de 1991.","Más de quince repúblicas formaban la URSS, un Estado federal que duró casi setenta años.",cnt,6,5,Rewrite
5178,"Todos los países del espacio de Schengen, con la excepción de Suiza, Noruega, Liechtenstein e Islandia, son miembros de la Unión Europea.",A finales de los 80 los videojuegos empezaron a tener cabida en los museos,neutral,5,14,Automated
941,"El proyecto de Colón fue sometido a una nueva junta, convocada por la reina, pero nuevamente se rechazó.",El proyecto del descubridor fue comúnmente aprobado.,cnt,2,2,Generate
4060,"Todos ellos eran todavía prototipos , juegos muy simples y de carácter experimental que no llegaron a comercializarse , entre otras cosas , porque funcionaban en unas máquinas que solo estaban disponibles en universidades o en institutos de investigación .",Antes de los años 80 los videojuegos no se habían considerado una forma de arte.,neutral,3,13,Automated
5063,"El 14 de enero Kahnweiler publicó El sitio de Jerusalén de Max Jacob, ilustrado por Picasso.",El pueblo griego estaba entusiasmado con la cancelación de las Olimpiadas.,neutral,1,14,Automated
5453,"Teniendo Las señoritas de Aviñón como punto de llegada, Braque y Picasso acabaron formulando el cubismo en 1908.",El cubismo no se concibió hasta 1908.,ent,1,6,Rewrite
2552,"Cinco miembros de la CECA ratificaron el tratado estableciendo la Comunidad Europea de Defensa (CED), pero en agosto de 1954, los parlamentarios franceses lo rechazaron, como consecuencia de la oposición conjunta de gaullistas y comunistas.","Debido a la carencia de votos, miembros de la CECA no lograron establecer la Comunidad Europea de Defensa (CED).",cnt,5,2,Generate
3228,"En invierno Picasso pintó el óleo Naturaleza muerta: guitarra, periódico, vaso y as de trébol (Museo Picasso, París), que introdujo el periodo llamado cubismo frío, donde la composición se trabajaba en colores fríos, con una predominancia del azul.","Los críticos consideraron que el vestuario era vulgar, de mal gusto e inexpresivo",neutral,1,11,Automated
5905,"Por último, en la década de 2010 emergen como plataformas de juegos los dispositivos táctiles portátiles, como los teléfonos inteligentes y las tabletas, llegando a un público muy amplio.",Antes de 2010 los teléfonos inteligentes y las tabletas ya se utilizaban como plataformas de videojuegos.,cnt,3,6,Rewrite
6933,Las autoridades locales no tienen potestad para permitir enterramientos,El castillo de Vauvenargues fue vendido antes de la muerte del pintor.,neutral,10,20,Crowd
3126,"La Revolución de Febrero de 1917, que provocó la caída del Imperio ruso, tuvo como sucesor al Gobierno provisional ruso, que fue derrocado por la Revolución de Octubre, estableciéndose el Gobierno de los bolcheviques denominado Sovnarkom.",El zar fundó el partido de los bolcheviques. ,cnt,6,4,Generate
5431,"Para eludir servicio militar, Picasso debió pagar dos mil pesetas, cantidad que le fue proporcionada por su tío.",El tío de Picasso le quitó dinero a su sobrino.,neutral,1,6,Rewrite
3918,"Todos los primeros intentos por implementar programas de carácter lúdico eran todavía prototipos, juegos muy simples y de carácter experimental que no llegaron a comercializarse, entre otras cosas, porque funcionaban en unas máquinas que solo estaban disponibles en universidades o en institutos de investigación.","Creadas por diversas empresas desde los años 70 , han generado un inmenso negocio de trascendencia histórica en la industria del entretenimiento .",neutral,3,12,Automated
2089,Los Juegos Olímpicos de la Juventud se celebran cada cuatro años y en ellos participan exclusivamente jóvenes atletas de entre 14 y 18 años de edad.,Los aletas de entre 14 y 18 compiten anualmente en unos Juegos Mini,cnt,4,9,Generate
993,"Entre 1474 y 1475 el padre de Hernando Colón habría viajado a la isla de Quíos (Quío o Chío), posesión genovesa en el mar Egeo, como marino y probablemente también como comerciante.",Herneando Colón nunca utilizó ninguna embarcación por miedo al kraken.,cnt,2,9,Generate
5650,"La primera ida y vuelta a través del océano Atlántico impulsó decisivamente la expansión mundial de la civilización europea, así como la conquista y colonización por varias de sus potencias del continente americano.",La civilización europea se extendió por el planeta antes de atravesarse el océano Atlántico.,cnt,2,6,Rewrite
3463,"En 1914 Picasso realizó una tercera serie de papiers collés.144 El 14 de enero Kahnweiler publicó El sitio de Jerusalén de Max Jacob , ilustrado por Picasso .",El artista malagueño no tuvo un hijas.,neutral,1,13,Automated
2737,Moscú consideró a Europa oriental como una zona tapón para la defensa preventiva de sus fronteras occidentales y aseguró su control de la región transformando los países de Europa del Este en Estados satélites.,"Moscú quería defender sus fronteras occidentales usando zonas que no pertenecían a la Unión Soviética, como la parte oriental de Europa.",ent,6,1,Generate
143,"También en contra de la guerra, con motivo de su adhesión al Consejo Mundial de la Paz pintó el famoso La paloma de la paz en 1949.",El pintor estaba en el Consejo Mundial de la Paz cuando pintó La paloma de la paz.,ent,1,1,Generate
6535,"Además, la mayoría de las organizaciones deportivas internacionales de relevancia están situadas en Europa.","Todas las organizaciones deportivas se trasladaron desde los Estados Unidos en 2001, con la entrada en vigor de la ley europea antideportiva.",cnt,5,8,Rewrite
4039,"Los dispositivos de salida son aquellos que muestran las imágenes y los sonidos del videojuego : un televisor , un monitor o un proyector para el vídeo , y unos altavoces o auriculares para el audio .",Existen juegos que no son electrónicos. ,neutral,3,13,Automated
352,"El paisaje catalán, sus colores y la estructura casi cubista de los pueblos y construcciones coincidían con las ideas de Picasso; yo pinto lo que pienso, no lo que veo, dijo Picasso.",Las vistas de Cataluña no coincidían con las ideas del pintor malagueño.,cnt,1,2,Generate
4130,"En mayo de 2001, el Comité creó los Olympic Broadcasting Services (OBS), establecidos para asegurar los altos estándares de emisión en los sucesivos Juegos Olímpicos.","Para el año 2010 todos los países, excepto Brunéi, Arabia Saudita y Catar, incluyeron mujeres en sus equipos olímpicos.",neutral,4,11,Automated
7909,"A largo plazo, los Juegos Olímpicos no tienen muchos beneficios tangibles, según muchos economistas.",No está claro que organizar JJOO sea positivo económicamente.,ent,10,20,Crowd
5487,"Marchó de Barcelona el 20 o 23 de diciembre (según distintas fuentes) con Casagemas, al que Picasso llevó consigo a celebrar el fin de año en Málaga.",Volvió a Barcelona con su amigo Casagemas.,neutral,1,7,Rewrite
199,"Desde 1898 firmó sus obras como «Pablo Ruiz Picasso», luego como «Pablo R. Picasso», y sólo como «Picasso» desde 1901.",Picasso se llamaba Pablo.,ent,1,9,Generate
7211,"Cristóbal Colón vivió hace muchos años, en los cuales no había esfuerzo en conservar documentos sobre orígenes y ascendencia de las personas","Cristóbal Colón es considerado un enigma sobre el que no existe unanimidad entre historiedades e investigadores debido a que algunos teorías secundarias lo afirman, al haber teorías secundarias, tendían que existir también las primarias.",ent,10,20,Crowd
1766,"Por último, Flyvbjerg y Stewart encontraron que en la última década, el sobrecoste en los Juegos ha descendido a niveles más regulares de este tipo de megaproyectos.",Los gastos adicionales de los Juegos Olímpicos no han ascendido en los últimos años.,ent,4,3,Generate
4364,"Alemania, que perdió una parte considerable de su territorio anterior a la guerra, fue ocupada por ejércitos extranjeros que dividieron su superficie territorial en cuatro partes, tal y como se consensuó en la Conferencia de Yalta.",El Parlamento Europeo está compuesto por dos grandes partidos organizados bajo un sistema democrático bipartidista.,neutral,5,11,Automated
